model,dataset,temperature,class,precision,recall,f1_score,accuracy
Deepseek-v2:16b,sentiment_fairness,temperature_0,Negative,0.6207,1.0,0.766,0.72
Deepseek-v2:16b,sentiment_fairness,temperature_1,Negative,0.6,1.0,0.75,0.7
Gemma3:270m,sentiment_fairness,temperature_0,Negative,0.3673,1.0,0.5373,0.38
Gemma3:270m,sentiment_fairness,temperature_1,Negative,0.3673,1.0,0.5373,0.38
QWQ:32b,sentiment_fairness,temperature_0,Negative,0.8095,0.9444,0.8718,0.9
QWQ:32b,sentiment_fairness,temperature_1,Negative,0.8095,0.9444,0.8718,0.9
Deepseek-v2:16b,sentiment_fairness,temperature_0,Neutral,1.0,0.3,0.4615,0.72
Deepseek-v2:16b,sentiment_fairness,temperature_1,Neutral,1.0,0.25,0.4,0.7
Gemma3:270m,sentiment_fairness,temperature_0,Neutral,0.0,0.0,0.0,0.38
Gemma3:270m,sentiment_fairness,temperature_1,Neutral,0.0,0.0,0.0,0.38
QWQ:32b,sentiment_fairness,temperature_0,Neutral,0.9412,0.8,0.8649,0.9
QWQ:32b,sentiment_fairness,temperature_1,Neutral,0.9412,0.8,0.8649,0.9
Deepseek-v2:16b,sentiment_fairness,temperature_0,Positive,0.8,1.0,0.8889,0.72
Deepseek-v2:16b,sentiment_fairness,temperature_1,Positive,0.8,1.0,0.8889,0.7
Gemma3:270m,sentiment_fairness,temperature_0,Positive,1.0,0.0833,0.1538,0.38
Gemma3:270m,sentiment_fairness,temperature_1,Positive,1.0,0.0833,0.1538,0.38
QWQ:32b,sentiment_fairness,temperature_0,Positive,1.0,1.0,1.0,0.9
QWQ:32b,sentiment_fairness,temperature_1,Positive,1.0,1.0,1.0,0.9
Deepseek-v2:16b,sentiment_negation,temperature_0,Negative,0.6,1.0,0.75,0.7143
Deepseek-v2:16b,sentiment_negation,temperature_1,Negative,0.6,1.0,0.75,0.7143
Gemma3:270m,sentiment_negation,temperature_0,Negative,0.3673,1.0,0.5373,0.36
Gemma3:270m,sentiment_negation,temperature_1,Negative,0.3673,1.0,0.5373,0.36
QWQ:32b,sentiment_negation,temperature_0,Negative,0.6429,1.0,0.7826,0.76
QWQ:32b,sentiment_negation,temperature_1,Negative,0.6429,1.0,0.7826,0.76
Deepseek-v2:16b,sentiment_negation,temperature_0,Neutral,0.875,0.3684,0.5185,0.7143
Deepseek-v2:16b,sentiment_negation,temperature_1,Neutral,0.875,0.3684,0.5185,0.7143
Gemma3:270m,sentiment_negation,temperature_0,Neutral,0.0,0.0,0.0,0.36
Gemma3:270m,sentiment_negation,temperature_1,Neutral,0.0,0.0,0.0,0.36
