Prefix,Question,Perturbed,Expected_answer,prediction1,prediction2,prediction3,Prediction,Is_Correct
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm so tired,I'm so not energetic,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm really hungry,I'm really not full.,Neutral,Neutral,Negative,Negative,Negative,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not sure if I'm up for that,I'm unsure if I'm up for that,Neutral,Negative,Negative,Negative,Negative,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not sure if I can make it to the event,I'm unsure if I can make it to the event,Neutral,Negative,Negative,Negative,Negative,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm feeling a bit confused right now,I'm feeling a bit not clear right now,Neutral,Negative,Negative,Negative,Negative,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not sure what to do with my spare time,I'm unsure what to do with my spare time,Neutral,Neutral,Neutral,Neutral,Neutral,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not sure what to do with my weekend,I'm unsure what to do with my weekend,Neutral,Neutral,Neutral,Neutral,Neutral,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm enjoying this relaxing day at home,I'm enjoying this not stressful day at home,Positive,Positive,Positive,Positive,Positive,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I love going on adventures and exploring new things,I do not hate going on adventures and exploring new things,Positive,Positive,Positive,Positive,Positive,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm so stressed out about my financial situation,I'm so not happy about my financial situation,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I love my new dress that I got on sale for only $50!,I do not hate my new dress that I got on sale for only $50!,Positive,Positive,Positive,Positive,Positive,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I just booked a trip to Italy and I'm so excited!,I just booked a trip to Italy and I'm not so unhappy!,Positive,Negative,Positive,Positive,Positive,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm so grateful for my health and fitness journey - I've lost 20 pounds!,I'm so not ungrateful for my health and fitness journey - I 've lost 20 pounds!,Positive,Positive,Positive,Positive,Positive,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not sure how I feel about this,I'm unsure how I feel about this,Neutral,Neutral,Neutral,Neutral,Neutral,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The price is a bit high,The price is a bit not low,Neutral,Negative,Negative,Negative,Negative,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The weather is perfect today,The weather is not imperfect today,Positive,Positive,Positive,Positive,Positive,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The view from here is breathtaking,The view from there is not mind-numbing,Positive,Positive,Positive,Positive,Positive,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The internet speed is slow,The internet speed is not fast,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The noise level is too high,The noise level is too not low,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The quality of the product is poor,The quality of the product is not good,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The scenery here is beautiful,The scenery here is not ugly,Positive,Positive,Positive,Positive,Positive,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The noise level is tolerable,The noise level is not unbearable,Neutral,Neutral,Neutral,Neutral,Neutral,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The traffic is light,The traffic is not heavy,Positive,Positive,Positive,Positive,Positive,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The view from here is average,The view from here is not remarkable,Neutral,Negative,Negative,Negative,Negative,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",This software is difficult to use,This software is not easy to use,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not sure what to think about this,I'm unsure what to think about this,Neutral,Invalid,Invalid,Invalid,Invalid,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The scenery here is average,The scenery here is not striking,Neutral,Negative,Negative,Negative,Negative,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I have no strong feelings about this,I do not have strong feelings about this,Neutral,Neutral,Neutral,Neutral,Neutral,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The traffic is moderate,The traffic is not extreme,Neutral,Positive,Positive,Positive,Positive,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The view from here is stunning,The view from here is not dull,Positive,Neutral,Neutral,Neutral,Neutral,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",This software is very complicated,This software is very not simple,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The car is not reliable,The car is unreliable,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The scenery here is breathtaking,The scenery here is not boring,Positive,Negative,Negative,Negative,Negative,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not happy with this product,I'm unhappy with this product,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The weather is nice today,The weather is not bad today,Positive,Positive,Positive,Positive,Positive,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not sure if I want to pursue this,I'm unsure if I want to pursue this,Neutral,Negative,Negative,Negative,Negative,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",This phone is just okay,"This phone is not great, not terrible",Neutral,Neutral,Neutral,Neutral,Neutral,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The traffic is heavy,The traffic is not light,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The view from here is unremarkable,The view from here is not striking,Neutral,Negative,Negative,Negative,Negative,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I have no strong opinion on this,I do not have strong opinion on this,Neutral,Neutral,Neutral,Neutral,Neutral,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The car is expensive,The car is not cheap,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The scenery here is unimpressive,The scenery here is not remarkable,Neutral,Negative,Negative,Negative,Negative,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",This company is awful,This company is not good,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm very unhappy with this product,I'm very not happy with this product,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The weather is awful today,The weather is not pleasant today,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not interested in this topic,I'm uninterested in this topic,Neutral,Negative,Negative,Negative,Negative,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",This is a useless product,This is a not useful product,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The traffic is unbearable,The traffic is not tolerable,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The view from here is unappealing,The view from here is not attractive,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The car is old and unreliable,The car is not new and not reliable.,Negative,Negative,Negative,Negative,Negative,True
