model,dataset,class,temperature,precision,recall,f1_score,accuracy
Gemma3:270m,Sentiment_fairness,Negative,temperature_0,0.3673,1.0,0.5373,0.38
Gemma3:270m,Sentiment_fairness,Negative,temperature_1,0.3673,1.0,0.5373,0.38
Gemma3:270m,Sentiment_fairness,Neutral,temperature_0,0.0,0.0,0.0,0.38
Gemma3:270m,Sentiment_fairness,Neutral,temperature_1,0.0,0.0,0.0,0.38
Gemma3:270m,Sentiment_fairness,Positive,temperature_0,1.0,0.0833,0.1538,0.38
Gemma3:270m,Sentiment_fairness,Positive,temperature_1,1.0,0.0833,0.1538,0.38
Gemma3:270m,Sentiment_negation,Negative,temperature_0,0.3673,1.0,0.5373,0.36
Gemma3:270m,Sentiment_negation,Negative,temperature_1,0.3673,1.0,0.5373,0.36
Gemma3:270m,Sentiment_negation,Neutral,temperature_0,0.0,0.0,0.0,0.36
Gemma3:270m,Sentiment_negation,Neutral,temperature_1,0.0,0.0,0.0,0.36
Gemma3:270m,Sentiment_negation,Positive,temperature_0,0.0,0.0,0.0,0.36
Gemma3:270m,Sentiment_negation,Positive,temperature_1,0.0,0.0,0.0,0.36
Gemma3:270m,Sentiment_ner,Negative,temperature_0,0.36,1.0,0.5294,0.36
Gemma3:270m,Sentiment_ner,Negative,temperature_1,0.36,1.0,0.5294,0.36
Gemma3:270m,Sentiment_ner,Neutral,temperature_0,0.0,0.0,0.0,0.36
Gemma3:270m,Sentiment_ner,Neutral,temperature_1,0.0,0.0,0.0,0.36
Gemma3:270m,Sentiment_ner,Positive,temperature_0,0.0,0.0,0.0,0.36
Gemma3:270m,Sentiment_ner,Positive,temperature_1,0.0,0.0,0.0,0.36
Gemma3:270m,Sentiment_robustness,Negative,temperature_0,0.3696,1.0,0.5397,0.3673
Gemma3:270m,Sentiment_robustness,Negative,temperature_1,0.3696,1.0,0.5397,0.3673
Gemma3:270m,Sentiment_robustness,Neutral,temperature_0,0.0,0.0,0.0,0.3673
Gemma3:270m,Sentiment_robustness,Neutral,temperature_1,0.0,0.0,0.0,0.3673
Gemma3:270m,Sentiment_robustness,Positive,temperature_0,0.3333,0.0833,0.1333,0.3673
Gemma3:270m,Sentiment_robustness,Positive,temperature_1,0.3333,0.0833,0.1333,0.3673
Gemma3:270m,Sentiment_taxonomy,Negative,temperature_0,0.3913,1.0,0.5625,0.44
Gemma3:270m,Sentiment_taxonomy,Negative,temperature_1,0.3913,1.0,0.5625,0.44
Gemma3:270m,Sentiment_taxonomy,Neutral,temperature_0,0.0,0.0,0.0,0.44
Gemma3:270m,Sentiment_taxonomy,Neutral,temperature_1,0.0,0.0,0.0,0.44
Gemma3:270m,Sentiment_taxonomy,Positive,temperature_0,1.0,0.3333,0.5,0.44
Gemma3:270m,Sentiment_taxonomy,Positive,temperature_1,1.0,0.3333,0.5,0.44
Gemma3:270m,Sentiment_temporal,Negative,temperature_0,0.36,1.0,0.5294,0.36
Gemma3:270m,Sentiment_temporal,Negative,temperature_1,0.36,1.0,0.5294,0.36
Gemma3:270m,Sentiment_temporal,Neutral,temperature_0,0.0,0.0,0.0,0.36
Gemma3:270m,Sentiment_temporal,Neutral,temperature_1,0.0,0.0,0.0,0.36
Gemma3:270m,Sentiment_temporal,Positive,temperature_0,0.0,0.0,0.0,0.36
Gemma3:270m,Sentiment_temporal,Positive,temperature_1,0.0,0.0,0.0,0.36
Gemma3:270m,Sentiment_vocab,Negative,temperature_0,0.4091,1.0,0.5806,0.44
Gemma3:270m,Sentiment_vocab,Negative,temperature_1,0.4091,1.0,0.5806,0.44
Gemma3:270m,Sentiment_vocab,Neutral,temperature_0,0.0,0.0,0.0,0.44
Gemma3:270m,Sentiment_vocab,Neutral,temperature_1,0.0,0.0,0.0,0.44
Gemma3:270m,Sentiment_vocab,Positive,temperature_0,0.6667,0.3333,0.4444,0.44
Gemma3:270m,Sentiment_vocab,Positive,temperature_1,0.6667,0.3333,0.4444,0.44
