Prefix,Question,Perturbed,Expected_answer,prediction1,prediction2,prediction3,Prediction,Is_Correct
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm so tired,I'm so tried,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm really hungry,I'm really hugnry,Neutral,Positive,Positive,Positive,Positive,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not sure if I'm up for that,I'm not srue if I'm up for that,Neutral,Negative,Negative,Negative,Negative,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not sure if I can make it to the event,I'm not sure if I can make it to the eevnt,Neutral,Negative,Negative,Negative,Negative,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm feeling a bit confused right now,I'm feeling a bit cofnused right now,Neutral,Negative,Negative,Negative,Negative,False
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not sure what to do with my spare time,I'm not sure what to do with my sapre time,Neutral,Neutral,Neutral,Neutral,Neutral,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not sure what to do with my weekend,I'm ont sure what to do with my weekend,Neutral,Neutral,Neutral,Neutral,Neutral,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm enjoying this relaxing day at home,I'm enojying this relaxing day at home,Positive,Positive,Positive,Positive,Positive,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I love going on adventures and exploring new things,I love going on adventures and exlporing new things,Positive,Positive,Positive,Positive,Positive,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm so stressed out about my financial situation,I'm so srtessed out about my financial situation,Negative,Negative,Negative,Negative,Negative,True
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I love my new dress that I got on sale for only $50!,I love my new derss that I got on sale for only $50!,Positive,Positive,Positive,Positive,Positive,True
