model,dataset,class,temperature,precision,recall,f1_score,accuracy
Deepseek-v2:16b,Sentiment_fairness,Negative,temperature_0,0.6207,1.0,0.766,0.72
Deepseek-v2:16b,Sentiment_fairness,Negative,temperature_1,0.6,1.0,0.75,0.7
Deepseek-v2:16b,Sentiment_fairness,Neutral,temperature_0,1.0,0.3,0.4615,0.72
Deepseek-v2:16b,Sentiment_fairness,Neutral,temperature_1,1.0,0.25,0.4,0.7
Deepseek-v2:16b,Sentiment_fairness,Positive,temperature_0,0.8,1.0,0.8889,0.72
Deepseek-v2:16b,Sentiment_fairness,Positive,temperature_1,0.8,1.0,0.8889,0.7
Deepseek-v2:16b,Sentiment_negation,Negative,temperature_0,0.6,1.0,0.75,0.7143
Deepseek-v2:16b,Sentiment_negation,Negative,temperature_1,0.6,1.0,0.75,0.7143
Deepseek-v2:16b,Sentiment_negation,Neutral,temperature_0,0.875,0.3684,0.5185,0.7143
Deepseek-v2:16b,Sentiment_negation,Neutral,temperature_1,0.875,0.3684,0.5185,0.7143
Deepseek-v2:16b,Sentiment_negation,Positive,temperature_0,0.9091,0.8333,0.8696,0.7143
Deepseek-v2:16b,Sentiment_negation,Positive,temperature_1,0.9091,0.8333,0.8696,0.7143
Deepseek-v2:16b,Sentiment_ner,Negative,temperature_0,0.6207,1.0,0.766,0.72
Deepseek-v2:16b,Sentiment_ner,Negative,temperature_1,0.6207,1.0,0.766,0.72
Deepseek-v2:16b,Sentiment_ner,Neutral,temperature_0,1.0,0.3,0.4615,0.72
Deepseek-v2:16b,Sentiment_ner,Neutral,temperature_1,1.0,0.3,0.4615,0.72
Deepseek-v2:16b,Sentiment_ner,Positive,temperature_0,0.8,1.0,0.8889,0.72
Deepseek-v2:16b,Sentiment_ner,Positive,temperature_1,0.8,1.0,0.8889,0.72
Deepseek-v2:16b,Sentiment_robustness,Negative,temperature_0,0.6667,0.8889,0.7619,0.6939
Deepseek-v2:16b,Sentiment_robustness,Negative,temperature_1,0.6667,0.8889,0.7619,0.6939
Deepseek-v2:16b,Sentiment_robustness,Neutral,temperature_0,0.75,0.3158,0.4444,0.6939
Deepseek-v2:16b,Sentiment_robustness,Neutral,temperature_1,0.75,0.3158,0.4444,0.6939
Deepseek-v2:16b,Sentiment_robustness,Positive,temperature_0,0.7059,1.0,0.8276,0.6939
Deepseek-v2:16b,Sentiment_robustness,Positive,temperature_1,0.7059,1.0,0.8276,0.6939
Deepseek-v2:16b,Sentiment_taxonomy,Negative,temperature_0,0.6818,0.8824,0.7692,0.7143
Deepseek-v2:16b,Sentiment_taxonomy,Negative,temperature_1,0.6818,0.8824,0.7692,0.7143
Deepseek-v2:16b,Sentiment_taxonomy,Neutral,temperature_0,0.8889,0.4,0.5517,0.7143
Deepseek-v2:16b,Sentiment_taxonomy,Neutral,temperature_1,0.8889,0.4,0.5517,0.7143
Deepseek-v2:16b,Sentiment_taxonomy,Positive,temperature_0,0.6667,1.0,0.8,0.7143
Deepseek-v2:16b,Sentiment_taxonomy,Positive,temperature_1,0.6667,1.0,0.8,0.7143
Deepseek-v2:16b,Sentiment_temporal,Negative,temperature_0,0.7083,0.9444,0.8095,0.78
Deepseek-v2:16b,Sentiment_temporal,Negative,temperature_1,0.7083,0.9444,0.8095,0.78
Deepseek-v2:16b,Sentiment_temporal,Neutral,temperature_0,0.9091,0.5,0.6452,0.78
Deepseek-v2:16b,Sentiment_temporal,Neutral,temperature_1,0.9091,0.5,0.6452,0.78
Deepseek-v2:16b,Sentiment_temporal,Positive,temperature_0,0.8,1.0,0.8889,0.78
Deepseek-v2:16b,Sentiment_temporal,Positive,temperature_1,0.8,1.0,0.8889,0.78
Deepseek-v2:16b,Sentiment_vocab,Negative,temperature_0,0.6538,0.9444,0.7727,0.72
Deepseek-v2:16b,Sentiment_vocab,Negative,temperature_1,0.6538,0.9444,0.7727,0.72
Deepseek-v2:16b,Sentiment_vocab,Neutral,temperature_0,0.8889,0.4,0.5517,0.72
Deepseek-v2:16b,Sentiment_vocab,Neutral,temperature_1,0.8889,0.4,0.5517,0.72
Deepseek-v2:16b,Sentiment_vocab,Positive,temperature_0,0.7333,0.9167,0.8148,0.72
Deepseek-v2:16b,Sentiment_vocab,Positive,temperature_1,0.7333,0.9167,0.8148,0.72
