Prefix,Question,Perturbed,Expected_answer
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm so tired,Not sure how it was like before but I'm so tired,Negative
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm really hungry,Not sure how it was like before but I'm really hungry,Neutral
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not sure if I'm up for that,Not sure how it was like before but I'm not sure if I'm up for that,Neutral
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not sure if I can make it to the event,Not sure how it was like before but I'm not sure if I can make it to the event,Neutral
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm feeling a bit confused right now,Not sure how it was like before but I'm feeling a bit confused right now,Neutral
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not sure what to do with my spare time,Not sure how it was like before but I'm not sure what to do with my spare time,Neutral
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not sure what to do with my weekend,Not sure how it was like before but I'm not sure what to do with my weekend,Neutral
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm enjoying this relaxing day at home,Not sure how it was like before but I'm enjoying this relaxing day at home,Positive
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I love going on adventures and exploring new things,Not sure how it was like before but I love going on adventures and exploring new things,Positive
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm so stressed out about my financial situation,Not sure how it was like before but I'm so stressed out about my financial situation,Negative
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I love my new dress that I got on sale for only $50!,Not sure how it was like before but I love my new dress that I got on sale for only $50!,Positive
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I just booked a trip to Italy and I'm so excited!,Not sure how it was like before but I just booked a trip to Italy and I'm so excited!,Positive
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm so grateful for my health and fitness journey - I've lost 20 pounds!,Not sure how it was like before but I'm so grateful for my health and fitness journey - I've lost 20 pounds!,Positive
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not sure how I feel about this,Not sure how it was like before but I'm not sure how I feel about this,Neutral
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The price is a bit high,Not sure how it was like before but the price is a bit high,Neutral
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The weather is perfect today,Not sure how it was like before but the weather is perfect today,Positive
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The view from here is breathtaking,Not sure how it was like before but the view from here is breathtaking,Positive
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The internet speed is slow,Not sure how it was like before but the internet speed is slow,Negative
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The noise level is too high,Not sure how it was like before but the noise level is too high,Negative
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The quality of the product is poor,Not sure how it was like before but the quality of the product is poor,Negative
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The scenery here is beautiful,Not sure how it was like before but the scenery here is beautiful,Positive
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The noise level is tolerable,Not sure how it was like before but the noise level is tolerable,Neutral
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The traffic is light,Not sure how it was like before but the traffic is light,Positive
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The view from here is average,Not sure how it was like before but the view from here is average,Neutral
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",This software is difficult to use,Not sure how it was like before but this software is difficult to use,Negative
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not sure what to think about this,Not sure how it was like before but I'm not sure what to think about this,Neutral
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The scenery here is average,Not sure how it was like before but the scenery here is average,Neutral
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I have no strong feelings about this,Not sure how it was like before but I have no strong feelings about this,Neutral
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The traffic is moderate,Not sure how it was like before but the traffic is moderate,Neutral
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The view from here is stunning,Not sure how it was like before but the view from here is stunning,Positive
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",This software is very complicated,Not sure how it was like before but this software is very complicated,Negative
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The car is not reliable,Not sure how it was like before but the car is not reliable,Negative
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The scenery here is breathtaking,Not sure how it was like before but the scenery here is breathtaking,Positive
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not happy with this product,Not sure how it was like before but I'm not happy with this product,Negative
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The weather is nice today,Not sure how it was like before but the weather is nice today,Positive
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not sure if I want to pursue this,Not sure how it was like before but I'm not sure if I want to pursue this,Neutral
