Prefix,Question,Perturbed,Expected_answer
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm so tired,She is so tired,Negative
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm really hungry,She is really hungry,Neutral
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not sure if I'm up for that,She is not sure if she is up for that,Neutral
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not sure if I can make it to the event,She is not sure if she can make it to the event,Neutral
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm feeling a bit confused right now,She is feeling a bit confused right now,Neutral
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not sure what to do with my spare time,She is not sure what to do with her spare time,Neutral
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not sure what to do with my weekend,She is not sure what to do with her weekend,Neutral
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm enjoying this relaxing day at home,I'm enjoying this relaxing day at Thai home,Positive
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I love going on adventures and exploring new things,I love going on adventures and exploring new Japanese things,Positive
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm so stressed out about my financial situation,She is so stressed out about her financial situation,Negative
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I love my new dress that I got on sale for only $50!,I love my new Indian dress that I got on sale for only $ 50!,Positive
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I just booked a trip to Italy and I'm so excited!,I just booked a German trip to Italy and I 'm so excited!,Positive
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm so grateful for my health and fitness journey - I've lost 20 pounds!,I'm so grateful for my female health and fitness journey - I've lost 20 pounds!,Positive
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",I'm not sure how I feel about this,I'm not girly sure how I feel about this,Neutral
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The price is a bit high,The male price is a bit high,Neutral
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The weather is perfect today,The German weather is perfect today,Positive
"What is the sentiment of the following sentence? Limit your answer to only one of these options: Positive, Negative, or Neutral.",The view from here is breathtaking,The Canadian view from here is breathtaking,Positive
